Common Name,Trevally (L),Rock fish (L),Sail fish,Skipjack tuna,Yellowfin tuna,Sardinella,Sharks,Herrings,Indian Mackerel,Pony fish,Katuwalla,Anchovy,"Prawns (M) 3""",Marlins,Frigate tuna,Atawalla,Red Bream,Big eye scade,Ginnati Paraw,Needle fish,Indian Anchovies,Barracuda,Indian Scad,Rainbow Runner,Threadfin  Bream,White Sardinella,Squids /Cuttle fish,Sea Crabs,Tilapia (M)
 1st Week February,540,500,642.5,271.67,585,135,552,288.33,405.83,120,165,287.5,817.5,841.67,255,320,650,373.33,536.67,415,796.67,536.67,217.5,297,458.75,98,750,491.67,390
 1st week September,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 1st week April,835,,1120,586.67,906.6,180,,364.83,,380,330,,,890,300,,666.67,400.75,,460,,610.6,,,,­,,800,
 1st week August,587.5,350,703.57,384.29,638.33,194.29,610,355,410,­,­,­,912.5,879,276.67,365,700,315.71,503.33,528.57,778.57,700,241.43,334.29,525,155,837.5,600,293.33
 1st Week December,660,­,720,436,622,233.33,­,435,577.5,150,­,350,1000,853.33,400,500,687.5,450,300,517.5,850,­,354.17,450,440,150,875,510,320
 1st week February,476.43,425,673.57,338.57,471.43,170,633.33,503.33,512.5,126,302.5,307.14,1030,870,353,466.67,630,465,516.67,497.14,­,634,349.17,348,573.33,122.86,682.14,528.57,394
  1st Week January,1024,,1105,640,963.33,260,,356,,240,­,,,890,400,,720,446.67,,480,,728,,,,­,,800,
 1st Week January ,566.67,­,671.43,344.29,530,200,­,450,463,128.33,­,­,1010,820,358,400,680,382.5,­,483.57,1100,630,245.82,333.33,575,163.33,746.67,516.67,317.5
 1st week July,1150,,1220.83,733.33,1075.67,­,,540,,240,­,,,960,520,,800,500,,720,,1040,,,,400,,­,
  1st week June,682.5,­,700,417.5,687.5,226,700,434,550,150,280,357.5,910,850,413.33,450,750,470,724,572.5,850,720,466,417.5,675,­,800,595,383.33
 1st week March,471.43,515,668.33,331.43,495.71,138.57,580,307.14,411.43,120,257.5,252.5,764.29,810,257.5,332,535,461.67,504,400,775,459,245,363,413.33,99.29,656.29,570,350
 1st week May,990,,1162,730,1072,200,,­,,­,­,,,960,485,,590,550,,­,,946.7,,,,­,,800,
 1st week November,400,­,­,390,620,160,­,397.5,413.75,133.33,220,247.5,1100,750,300,350,437.5,282,423.75,422,­,520,286,350,361,137,­,600,310
 1st week October,460,466.67,718.33,380,611.43,148,550,322.14,394.29,150,200,250,939.29,883,236.67,325,612.5,258.57,532.14,370.71,645.83,515.83,193.57,340,313.57,113.57,840,600,340
 1st week September,606,­,700,365,810,262.14,633.33,393,565.71,162.5,­,300,1078.57,880,391.25,408.33,780,370.71,778.33,568.53,676.67,­,330,392.86,503,184,895,550,335
